City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,tangalle,6.024,80.7911,27.14,82,51,5.66,LK,1726240750
142,laurel,39.0993,-76.8483,22.7,84,100,4.12,US,1726240753
143,turpan,42.9333,89.1667,29.9,20,67,2.43,CN,1726240755
144,black mountain,35.6179,-82.3212,22.14,83,66,1.34,US,1726240756
145,abu jibeha,11.4562,31.2285,28.65,74,92,3.58,SD,1726240757
146,giyani,-23.3025,30.7187,34.18,17,2,3.67,ZA,1726240758
147,sinabang,2.4803,96.3801,26.86,80,100,0.24,ID,1726240759
148,pierre,44.3683,-100.351,22.51,56,100,6.69,US,1726240760
149,guerrero negro,27.9769,-114.0611,20.13,73,5,5.58,MX,1726240761
150,calama,-22.4667,-68.9333,20.27,4,0,2.57,CL,1726240762
151,ust-nera,64.5667,143.2,2.94,90,100,2.38,RU,1726240763
152,morant bay,17.8815,-76.4093,30.18,75,100,3.98,JM,1726240764
153,namibe,-15.1961,12.1522,19.78,77,24,4.94,AO,1726240765
154,acarau,-2.8856,-40.12,31.23,50,0,8.52,BR,1726240766
155,constantia,44.1833,28.65,25.39,77,100,6.48,RO,1726240767
156,gulariya,28.2333,81.3333,25.49,90,100,2.53,NP,1726240768
157,oriximina,-1.7656,-55.8661,34.96,41,52,2.33,BR,1726240769
158,fisterra,42.9049,-9.2629,19.82,61,1,9.19,ES,1726240770
159,siwa oasis,29.2041,25.5195,35.68,21,0,3.06,EG,1726240772
160,bereznik,62.8551,42.7072,21.21,55,96,2.21,RU,1726240773
161,vrnograc,45.1636,15.9536,8.79,90,100,1.61,BA,1726240774
162,sisimiut,66.9395,-53.6735,4.68,81,99,1.49,GL,1726240776
163,hawaiian paradise park,19.5933,-154.9731,21.73,98,20,2.57,US,1726240777
164,port lincoln,-34.7333,135.8667,11.97,76,89,4.27,AU,1726240778
165,port macquarie,-31.4333,152.9167,11.71,90,83,0.45,AU,1726240779
166,bilibino,68.0546,166.4372,2.6,86,80,1.62,RU,1726240780
167,magadan,59.5667,150.8,7.82,86,99,1.43,RU,1726240781
168,baise city,23.8997,106.6133,25.23,88,0,0.8,CN,1726240782
169,lobujya,27.95,86.8167,2.33,99,100,2.1,NP,1726240783
170,kavaratti,10.5669,72.642,26.99,83,100,5.51,IN,1726240784
171,mananjary,-21.2167,48.3333,21.43,71,98,3.59,MG,1726240785
172,nouadhibou,20.931,-17.0347,24.99,61,1,9.26,MR,1726240786
173,fort drum,44.0584,-75.7619,23.71,69,0,0.0,US,1726240787
174,porus,18.0354,-77.4117,31.38,60,100,3.08,JM,1726240788
175,dudinka,69.4058,86.1778,2.75,77,6,7.13,RU,1726240789
176,egilsstadir,65.2653,-14.3948,7.95,42,20,4.63,IS,1726240790
177,daru,-9.0763,143.2092,25.08,85,96,6.95,PG,1726240792
178,ingeniero jacobacci,-41.3427,-69.5448,8.5,43,11,9.32,AR,1726240793
179,oranjemund,-28.55,16.4333,15.2,67,1,6.09,NA,1726240794
180,ghat,24.9647,10.1728,31.53,41,63,3.42,LY,1726240795
181,richards bay,-28.783,32.0377,26.5,63,3,1.5,ZA,1726240796
182,piacabucu,-10.4056,-36.4344,26.87,62,56,6.11,BR,1726240797
183,kargopol',61.5071,38.9456,21.86,47,100,2.89,RU,1726240798
184,kutum,14.2,24.6667,33.28,24,98,4.73,SD,1726240799
185,aasiaat,68.7098,-52.8699,1.29,78,18,1.92,GL,1726240800
186,ust'-ilimsk,58.0006,102.6619,6.92,83,100,1.46,RU,1726240801
187,lompoc,34.6391,-120.4579,12.23,100,100,2.06,US,1726240802
